DATE,NUM_SEVERE,NUM_DAILY_SEVERE,MA7_NUM_SEVERE,MA7_NUM_DAILY_SEVERE,NUM_SEVERE_per_100kpop,NUM_DAILY_SEVERE_per_100kpop,MA7_NUM_SEVERE_per_100kpop,MA7_NUM_DAILY_SEVERE_per_100kpop,REGION_L,REGION_S,REGION_PSGC
2020-06-26,71.0,9.0,52.42857142857142,4.285714285714286,0.5062946786592055,0.06417819870327958,0.3738634749857714,0.030561047001561707,Metropolitan Manila,NCR,PH130000000
2020-06-27,72.0,1.0,57.14285714285714,4.714285714285714,0.5134255896262366,0.0071309109670310645,0.40748062668748924,0.033617151701717876,Metropolitan Manila,NCR,PH130000000
2020-06-28,71.0,-1.0,61.57142857142857,4.428571428571428,0.5062946786592055,-0.0071309109670310645,0.4390603752557697,0.03157974856828043,Metropolitan Manila,NCR,PH130000000
2020-06-29,70.0,-1.0,66.0,4.428571428571428,0.4991637676921745,-0.0071309109670310645,0.4706401238240501,0.03157974856828043,Metropolitan Manila,NCR,PH130000000
2020-06-30,75.0,5.0,68.71428571428571,2.714285714285714,0.5348183225273299,0.035654554835155325,0.4899954535917058,0.01935532976765575,Metropolitan Manila,NCR,PH130000000
2020-07-01,74.5,2.0,70.78571428571428,2.4285714285714284,0.5312528670438144,0.01426182193406213,0.5047666263091274,0.0173179266342183,Metropolitan Manila,NCR,PH130000000
2020-07-02,74.0,-1.0,72.5,2.0,0.5276874115602987,-0.0071309109670310645,0.516991045109752,0.01426182193406213,Metropolitan Manila,NCR,PH130000000
2020-07-03,70.0,-4.0,72.35714285714285,0.14285714285714285,0.4991637676921745,-0.028523643868124258,0.5159723435430333,0.0010187015667187263,Metropolitan Manila,NCR,PH130000000
2020-07-04,76.0,6.0,72.92857142857143,0.8571428571428571,0.5419492334943609,0.04278546580218639,0.5200471498099083,0.0061122094003123436,Metropolitan Manila,NCR,PH130000000
2020-07-05,81.66666666666667,9.666666666666666,74.45238095238095,2.3809523809523805,0.5823577289742036,0.06893213934796696,0.530913299854908,0.016978359445312063,Metropolitan Manila,NCR,PH130000000
2020-07-06,87.33333333333333,13.333333333333332,76.92857142857143,4.428571428571428,0.6227662244540463,0.09507881289374753,0.5485707936780325,0.031579748568280434,Metropolitan Manila,NCR,PH130000000
2020-07-07,93.0,17.0,79.5,6.142857142857142,0.663174719933889,0.1212254864395281,0.5669074218789696,0.04380416736890511,Metropolitan Manila,NCR,PH130000000
2020-07-08,94.0,1.0,82.28571428571428,6.0,0.6703056309009201,0.0071309109670310645,0.5867721024299847,0.042785465802186395,Metropolitan Manila,NCR,PH130000000
2020-07-09,105.0,11.0,86.71428571428571,7.7142857142857135,0.7487456515382618,0.0784400206373417,0.6183518509982652,0.055009884602811074,Metropolitan Manila,NCR,PH130000000
2020-07-10,111.0,6.0,92.57142857142857,9.142857142857142,0.7915311173404481,0.04278546580218639,0.6601186152337327,0.0651969002699983,Metropolitan Manila,NCR,PH130000000
2020-07-11,122.0,11.0,99.14285714285714,9.857142857142856,0.8699711379777899,0.0784400206373417,0.7069788873027941,0.07029040810359193,Metropolitan Manila,NCR,PH130000000
2020-07-12,83.0,-39.0,99.33333333333333,2.904761904761905,0.5918656102635783,-0.2781055277142115,0.7083371560584191,0.020713598523280728,Metropolitan Manila,NCR,PH130000000
2020-07-13,82.0,-1.0,98.57142857142857,0.8571428571428577,0.5847346992965473,-0.0071309109670310645,0.7029040810359192,0.006112209400312356,Metropolitan Manila,NCR,PH130000000
2020-07-14,81.0,-1.0,96.85714285714285,-1.7142857142857137,0.5776037883295162,-0.0071309109670310645,0.6906796622352945,-0.012224418800624666,Metropolitan Manila,NCR,PH130000000
2020-07-15,80.0,-1.0,94.85714285714285,-1.9999999999999993,0.5704728773624852,-0.0071309109670310645,0.6764178403012324,-0.014261821934062113,Metropolitan Manila,NCR,PH130000000
2020-07-16,82.0,2.0,91.57142857142857,-3.285714285714285,0.5847346992965473,0.014261821934062129,0.6529877042667018,-0.023430136034530622,Metropolitan Manila,NCR,PH130000000
2020-07-17,84.0,2.0,87.71428571428571,-3.8571428571428563,0.5989965212306094,0.014261821934062129,0.6254827619652963,-0.027504942301405516,Metropolitan Manila,NCR,PH130000000
2020-07-18,93.0,9.0,83.57142857142857,-4.142857142857142,0.663174719933889,0.06417819870327958,0.5959404165304534,-0.029542345434842965,Metropolitan Manila,NCR,PH130000000
2020-07-19,102.0,9.0,86.28571428571428,2.714285714285715,0.7273529186371686,0.06417819870327958,0.6152957462981091,0.019355329767655756,Metropolitan Manila,NCR,PH130000000
2020-07-20,103.0,1.0,89.28571428571428,3.0000000000000004,0.7344838296041997,0.0071309109670310645,0.6366884791992024,0.021392732901093205,Metropolitan Manila,NCR,PH130000000
2020-07-21,103.0,0.0,92.42857142857142,3.1428571428571432,0.7344838296041997,0.0,0.6590999136670143,0.022411434467811926,Metropolitan Manila,NCR,PH130000000
2020-07-22,130.0,27.0,99.57142857142857,7.142857142857142,0.9270184257140384,0.19253459610983875,0.7100349920029504,0.050935078335936176,Metropolitan Manila,NCR,PH130000000
2020-07-23,137.0,7.0,107.42857142857142,7.857142857142857,0.9769348024832558,0.04991637676921745,0.7660635781724802,0.0560285861695298,Metropolitan Manila,NCR,PH130000000
2020-07-24,132.0,-5.0,114.28571428571428,6.857142857142857,0.9412802476481005,-0.035654554835155325,0.8149612533749788,0.048897675202498735,Metropolitan Manila,NCR,PH130000000
2020-07-25,143.0,11.0,121.42857142857142,7.142857142857142,1.0197202682854423,0.0784400206373417,0.8658963317109151,0.050935078335936176,Metropolitan Manila,NCR,PH130000000
2020-07-26,144.0,1.0,127.42857142857142,6.0,1.0268511792524733,0.0071309109670310645,0.9086817975131015,0.042785465802186395,Metropolitan Manila,NCR,PH130000000
